epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,139.867,0.15207,0.98939,1,0.03184,0.00033157,0.00033157,0.0671746
2,275.901,0.07113,0.99204,1,0.03385,0.000651738,0.000651738,0.0341614
3,406.184,0.05674,0.99337,1,0.02659,0.000958706,0.000958706,0.00113507
4,540.467,0.06086,0.99072,1,0.03522,0.0009406,0.0009406,0.0009406
5,668.673,0.05374,0.99337,1,0.02338,0.0009208,0.0009208,0.0009208
6,801.184,0.03804,0.99469,1,0.02507,0.000901,0.000901,0.000901
7,939.863,0.03643,0.99204,1,0.02456,0.0008812,0.0008812,0.0008812
8,1074.47,0.03528,0.99337,1,0.03058,0.0008614,0.0008614,0.0008614
9,1207.51,0.03574,0.99204,1,0.02906,0.0008416,0.0008416,0.0008416
10,1340.83,0.0297,0.99204,1,0.0295,0.0008218,0.0008218,0.0008218
11,1472.91,0.02552,0.99337,1,0.03291,0.000802,0.000802,0.000802
12,1606.11,0.02289,0.99072,1,0.02541,0.0007822,0.0007822,0.0007822
13,1739.95,0.02811,0.99337,1,0.04888,0.0007624,0.0007624,0.0007624
14,1873.26,0.02709,0.99469,1,0.03001,0.0007426,0.0007426,0.0007426
15,2003.95,0.02587,0.99072,1,0.04073,0.0007228,0.0007228,0.0007228
16,2132.44,0.02463,0.99469,1,0.03783,0.000703,0.000703,0.000703
